pair	timestamp	bid	ask	last_trade	rolling_24_hour_volume	status
XRPZAR	1656013497245	5.39000000	5.40000000	5.39000000	2049747.00000000	ACTIVE
XRPZAR	1656015352484	5.42000000	5.43000000	5.42000000	2318203.00000000	ACTIVE
XRPZAR	1656017206382	5.40000000	5.41000000	5.41000000	2428664.00000000	ACTIVE
XRPZAR	1656019060195	5.38000000	5.40000000	5.39000000	2357753.00000000	ACTIVE
XRPZAR	1656020913102	5.40000000	5.41000000	5.40000000	2428242.00000000	ACTIVE
XRPZAR	1656022767940	5.40000000	5.41000000	5.40000000	2387550.00000000	ACTIVE
XRPZAR	1656024622042	5.43000000	5.44000000	5.44000000	2420010.00000000	ACTIVE
XRPZAR	1656026476447	5.43000000	5.45000000	5.44000000	2432594.00000000	ACTIVE
XRPZAR	1656028330641	5.45000000	5.46000000	5.46000000	2478057.00000000	ACTIVE
XRPZAR	1656030188165	5.48000000	5.49000000	5.49000000	2564607.00000000	ACTIVE
XRPZAR	1656032045721	5.55000000	5.56000000	5.58000000	2693465.00000000	ACTIVE
XRPZAR	1656033903170	5.98000000	6.01000000	5.99000000	3114885.00000000	ACTIVE
XRPZAR	1656035761732	5.90000000	5.91000000	5.90000000	3274910.00000000	ACTIVE
XRPZAR	1656037616959	5.89000000	5.90000000	5.90000000	3403149.00000000	ACTIVE
XRPZAR	1656039473796	5.90000000	5.91000000	5.91000000	3458662.00000000	ACTIVE
XRPZAR	1656041332325	5.93000000	5.94000000	5.94000000	3574595.00000000	ACTIVE
XRPZAR	1656043191736	5.96000000	5.97000000	5.95000000	3626373.00000000	ACTIVE
XRPZAR	1656045049515	5.99000000	6.00000000	5.99000000	3778416.00000000	ACTIVE
XRPZAR	1656046908968	5.94000000	5.95000000	5.94000000	4020992.00000000	ACTIVE
XRPZAR	1656048766213	5.99000000	6.01000000	6.01000000	4080435.00000000	ACTIVE
XRPZAR	1656050626440	5.93000000	5.95000000	5.94000000	4330568.00000000	ACTIVE
XRPZAR	1656052483624	5.96000000	5.97000000	5.97000000	4331268.00000000	ACTIVE
XRPZAR	1656054341976	5.95000000	5.96000000	5.95000000	4407618.00000000	ACTIVE
XRPZAR	1656056201155	6.08000000	6.09000000	6.09000000	4492369.00000000	ACTIVE
XRPZAR	1656058063739	6.04000000	6.05000000	6.05000000	4618078.00000000	ACTIVE
XRPZAR	1656059923410	6.17000000	6.18000000	6.19000000	4834121.00000000	ACTIVE
XRPZAR	1656061786056	6.20000000	6.21000000	6.21000000	5002195.00000000	ACTIVE
XRPZAR	1656063646673	6.17000000	6.18000000	6.17000000	5272976.00000000	ACTIVE
